誰？;who?
きっと;probably- very likely
一緒なら、きっと楽しいですよ;if we are together- it'll probably be fun- you know?
生ビール;draught beer
お水;water
お茶;Japanese tea
紅茶;non-Japanese tea
お料理;a dish- cooking (respectful)
牛肉;beef
豚肉;pork
鶏肉;chicken (meat)
野菜;vegetable
ごはん;rice- a meal
お味噌汁;a miso soup
お漬物;Japanese pickles
しょうゆ;a soy sauce
お皿;a plate
お箸;chopsticks
おしぼり;wet hand towel
おじゃまします;hi! (entering someone's house)
紹介する;to introduce
私の家族を紹介します;let me introduce my family
母;my mum
母のリサです;this is my mum- Risa
お母さん;mother (respectful)
お母さんは美人ですね;your mother is very pretty
ただいま;I'm home!
おかえり;welcome home!
父;my dad
自慢;a boast- a pride
私の自慢の父です;I am proud of my dad
お父さん;father (respectful)
お父さんにそっくりですね;you look exactly like your father- you know?
でしょ？;I know- right? (casual)
思う;to think- to feel
私もそう思います;I think so too
親子;a parent and their child
やっぱり親子ですね;afterall- you're a chip off the old block
きょうだい;siblings
きょうだいはいますか？;do you have siblings?
きょうだいはいません;I don't have siblings
一人っ子です;I'm an only child
姉;my elder sister
私には姉が二人います;I have two elder sisters
お姉さん;elder sister (respectful)- a young lady
ケンカする;to quarrel- to argue
ケンカばっかりしています;all we do is argue
アニメばっかり見ています;all I watch is anime
兄;my elder brother
お兄さん;elder brother (respectful)- a young man
取り合う;to fight over
いつも;always
いつもリモコンの取り合いになります;we always end up fighting over the remote control
分かる〜！;I can totally relate to that! (casual)
ずるい！;it's not fair! (casual)- dishonest
弟;my little brother
弟さんはどんな人ですか？;what kind of person is your little brother?
人見知り;a shy person
おしゃべりな;chatty
意外とおしゃべりですよ;(he) is surprisingly chatty- you know?
妹;my little sister
特に;especially
仲がいい;get along very well
私は特に妹と仲がいいです;I get along especially well with my younger sister
妻;my wife
奥さん;wife (respectful)
旦那さん;husband (respectful)
世界;the world
旦那の料理は世界一です;my husband's cooking is the best in the world
いってきます;bye (when leaving home)
いってらっしゃい;bye (to the person leaving home)
失礼な;rude
失礼ですが…;I know it's rude- but ...
いくつ？;how many?
おいくつですか？;how old are you? (respectful)
秘密;secret
歳;age
三十歳です;I'm thirty years old
見える;to be able to see
え〜、見えないですね！;you don't look it!
お世辞;flattery- fake compliments
上手な;good at
下手な;bad at
お世辞が上手ですね;you flatter me!
おじいちゃん;grandpa
おばあちゃん;grandma
ラブラブな;lovey-dovey
今でもラブラブです;they are still deeply in love with each other
お腹が空きました;(I just realised) I'm hungry
のどがかわきました;(I just realised) I'm thirsty
食べる;to eat
食べます;to eat ('-masu' form)
何か;something
何か食べましょう;let's have something to eat
ある;there is ...- to have ...
あります;there is ...- to have ... ('-masu' form)
近く;near by
近くにレストランはありますか？;is there a restaurant nearby?
居酒屋;Japanese food pub
食べたいです;I want to eat
何が食べたいですか？;what do you want to eat?
どこでも;wherever
なんでもいいですよ;I'm fine with whatever
いろいろ;all kinds of …
いろいろ食べたいです;I want to eat many different things
飲む;to drink
飲みます;to drink ('-masu' form)
飲みたいです;I want to drink
お酒が飲みたいです;I want to have (alcoholic) drinks
いらっしゃいませ;welcome to our shop
二人;two people
三人;three people
四人です;we are four people
こちらへどうぞ;this way please (respectful)
あちら;over that way (respectful)
飲み物;beverage
お飲み物は？;what would you like to drink? (respectful)
とりあえず;for the time being
とりあえずビール！;a beer to start with!
注文;an order (at a restaurant)
ご注文はお決まりですか？;are you ready to order? (respectful)
おすすめは何ですか？;what do you recommend?
全部;everything
おいしい;yummy
全部おいしそうですね;they all look yummy
どれにしますか？;which are you gonna go for?
えーっと;well ... (casual)
何にしようかな;what do I want ...? (talking to yourself)
おまかせで;I'll leave it up to you
入る;to enter
わさびは入っていますか？;is there wasabi in this?
大好物;a food I love
わさびが大好物です;wasabi is one of my favourite foods
おー、さすが日本人！;wow- you're so Japanese!
お肉;meat
お魚;fish
私はお肉とお魚がダメなんです;I actually can't eat meat or fish
アレルギー;allergy
ナッツアレルギーなんです;I'm actually allergic to nuts
シェアする;to share (dictionary form)
これは二人でシェアできますか？;can we share this between two?
これをください;can I have this please
それと…;also ...
以上でよろしいですか？;is that all? (respectful)
待つ;to wait
少々お待ちください;please wait a moment (respectful)
お待たせしました;thank you for waiting (respectful)
熱い;hot (thing)
冷たい;cold- cool (thing)
甘い;sweet
辛い;spicy
口;mouth
一口ちょうだい;can I have a bite? (casual)
おかわりください;can I have another please?
別腹;another stomach
デザートは別腹です;you always have room for dessert
会計;the bill
お会計お願いします;the bill- please
いっぱい;full- a lot
お腹がいっぱいです;I'm full
博物館;a museum
商店街;a shopping arcade
公園;a park
お祭り;a festival
市場;a market
動物園;a zoo
美術館;an art gallery
遊園地;an amusement park
水族館;an aquarium
教会;a church
学校;a school
交番;a police station
大きい;big
小さい;small
背が高い;tall (height)
背が低い;short (height)
かっこいい;cool- handsome
優しい;kind- nice
頭がいい;clever
怖い;scary
くさい;smelly
元気な;energetic- (physically) well
真面目な;serious- studious
頑固な;stubborn
やんちゃな;cheeky
さあ、行きましょう！;come on- let's go!
どこに行きましょうか？;where shall we go?
お城;a castle
お城に行きたいです;I want to go to a castle
お土産;a souvenir
買う;to buy
お土産を買いたいです;I want to buy souvenirs
観光;tourism
案内所;information centre
聞く;to listen- to ask
観光案内所で聞きましょう;let's ask at the tourism centre
行き方;the way to get somewhere
教える;to tell- to teach
教えてください;please tell me
ポケモンセンターへの行き方を教えてください;please tell me the way to the Pokémon Centre
お寺;a Buddhist temple
神社;a shrine
違い;a difference
お寺と神社の違いは何ですか？;what's the difference between temples and shrines?
まず、宗教が違います;firstly- they're different religions
なるほど;oh- I see! (casual)
地図をください;please give me a map
遠いですか？;is it far?
近い;close by
歩く;to walk
歩いて行けますか？;can I walk there?
やる;to do- to do business
今日はやっていますか？;is it open today?
休む;to rest
お休みです;it's not open
何かおもしろいイベントはやっていますか？;is there any interesting events on?
混む;to get crowded with people
混んでいますか？;is it crowded?
どれがおすすめですか？;which do you recommend?
舞妓さん;maiko (apprentice geisha)
舞妓体験;maiko experience
忍者体験って何ですか？;what is a 'ninja experience'?
意味;a meaning
体験ってどういう意味ですか？;what does 'taiken' mean?
生活;daily life
忍者の生活を体験できます;you can experience the life of a ninja
人気な;popular
とても人気なツアーです;it's a very popular tour
興味;an interest
さむらいに興味があります;I am interested in samurais
興味津々です;I'm really intrigued
今;now
時間;time
今、何時ですか？;what time is it now?
何時からですか？;what time is it from?
四時から九時までです;it's from four to nine o'clock
有料;paid admission
無料ですか？;is it free?
大人;adult
子ども;child
大人一人と、子ども二人です;we are one adult and two children
とっても楽しみです;I'm really looking forward to it
ワクワクしますね;it's super exciting- isn't it?
ありがとうございます;thank you (formal)
こちらこそ;no- I should be thanking YOU
