대통령;president
이것들은 내 것이에요;these are mine
그것들은 그녀의 것이에요?;are those hers?
그 보라색은 당신의 것이에요;the purple one is yours
이 꽃들은 우리 엄마를 위한 것이에요;these flowers are for our mom
이곳은 이제 민준의 집이에요;this is Minjun's house now
이 귀고리는 내 부인의 것이에요;these earrings are my wife's
내 아들은 다른 비디오 게임은 필요하지 않아요;my son doesn't need another video game
웃다;to laugh
울다;to cry
가져오다;to bring
수리하다;to repair
나르다;to carry
고치다;to fix
선택하다;to pick- to choose
~중에서;between- amongst
오르다;to climb
떨어뜨리다;to drop
끔찍하다;to be awful
실망스럽다;to be disappointing
실망하다;to be disappointed
놀랍다;to be surprised
갑자기;suddenly
~옆의;by (near)
~을 통해;over
주의에;around
그는 조금 실망했어요;he was a little disappointed
무서웠어요;got scared
갑자기 나는 정말 무서웠어요;suddenly I got very scared
나는 너무 무서워서 내 아이스크림을 떨어뜨렸어요;I got so scared I dropped my ice cream
나는 내 칫솔을 가져오지 않았어요;I didn't bring my toothbrush
우리는 많은 호텔중에서 하나를 선택할 수 있었어요;we could choose between many hotels
우리는 바다 옆의 좋은 호텔에 갔어요;we went to a nice hotel by the sea
실수;mistake
실수하다;to make a mistake
기분;feeling
기분을 상하게 하다;to hurt (someone's) feelings
용서하다;to forgive
~으려고 하다 (~려고 하다 );to be about to ... - to try to ... - to mean to ...
소리;sound
소리 지르다;to yell
겁먹다;to scare
속상하다;to upset
~ㄴ거 같아요 (~는 것 같아요);it seems ...
확신하다;to be sure
~이라고 확신하다 (~라고 확신하다);to be sure (that) ....
명백하게;obviously
나는 실수했어요;I made a mistake
당신은 그의 기분을 상하게 했어요;you hurt his feelings
그녀는 명백히 실수했어요;she obviously made a mistake
그는 그런 뜻이 아니었어요;he didn't mean it
예, 내가 했어요;yes- I did
아니요, 내가 하지 않았어요;no- I didn't
그녀가 당신 기분을 상하게 하려고 한건 아니었어요;she didn't mean to hurt you
내가 그의 기분을 상하게 한거 같아요;it seems I hurt his feelings
나를 용서하세요;forgive me (polite)
나는 모든 것이 다 잘 될 것이라고 확신해요;I'm sure everything will be okay
