ㅏ;a
우리 매형은 딸 바보예요;my brother-in-law loves his daughter a lot
살다;to live
혼자 살아요?;do you live alone?
예, 혼자 살아요;yes- I live alone
자취해요;I cook for myself- I live alone
부모님과 함께 살아요;I live with my parents
여자친구 있어요?;do you have a girlfriend?
남자친구 있어요;I have a boyfriend
여자친구 없어요;I don't have a girlfriend
독신이에요;I'm single
하고 싶다;to want to do
결혼하고 싶어요;I want to get married
생각;a thought- thinking
생각이 없다;to be inconsiderate- to not be in the mood to do something
결혼 생각이 없어요;I don't want to get married
이혼했어요;I got divorced
돌싱이에요;I'm a divorcee
한부모 가족;single parent family
다문화 가족;multi-cultural family
가족 형태;family type- family form
다양하다;to be various
요즘;these days
요즘은 가족 형태가 다양해요;these days there are various types of families
