座席;seat
忘れます;to forget
やめます;to stop (doing something)
誰にも;to anyone- to no-one
自分;oneself
自分自身;myself
あなた自身;yourself
アドバイス;advice
アドバイスをしましょう;let me give you some advice
あなたは彼のことを忘れるべきです;you should just forget about him
これは彼自身の問題です;this is his own problem
あなたは彼を許すべきです;you should forgive him
これは誰にも教えるべきじゃありません;you shouldn't tell this to anyone
条件;condition
一つ条件があります;on one condition
想像します;to imagine
想像できますか？;can you imagine?
覚えます;to memorise
覚えています;to remember
その人の顔を覚えていますか？;do you remember that person's face?
説明します;to explain- to describe
説明してください;please describe it
彼の絵を描けますか？;can you draw a picture of him?
指します;to point
指を指します;to point a finger
真ん中;the middle
私は左の男だったと思います;I think it was the guy on the left
本当にその人を見ましたか？;did you really see that person?
信じます;to believe
信じてください！;please believe me!
付けます;to turn on
消します;to turn off
可能性;chance- possibility
可能性が高いです;to be likely
可能性が低いです;to be unlikely
うるさい;loud
ラジオをつけてもいいですか？;can I turn on the radio?
うるさくしないでください;please- don't be loud
テレビを消してください;turn the TV off- please
明日私のチームが勝つと思います;I think my team will win tomorrow
私のチームが勝つ可能性が高いと思います;I think my team has a good chance of winning
彼らは勝つかもしれませんが、可能性は低いです;they might win- but it's unlikely
強風;strong wind
地面;ground
日焼け止め;sun block
長靴;wellies
レインコート;raincoat
強風の危険性があります;there is a risk of strong wind
晴れる可能性が少しあります;there is a small chance of sunshine
だから私たちは日焼け止めを持ってきました;that's why we brought sun block
長靴を忘れないでください;don't forget your wellies
明日は雨が降るからレインコートが必要です;tomorrow it's going to rain so you'll need raincoats
たくさん雪が降って、私たちは外に出られませんでした;it snowed so much we couldn't go outside
私たちは、強風で学校に行けませんでした;we couldn't go to school due to strong winds
私は、風がうるさくて寝られませんでした;I couldn't sleep because the wind was loud
あばた;pockmark
えくぼ;dimple
あばたもえくぼ;love is blind
雀;sparrow
涙;tear- teardrop
雀の涙;a very small amount
団子;dango (rice cake)
花より団子;practicality is more important than aesthetics
くさい;smelly
蓋;lid
くさい物に蓋をする;sweep under the carpet
事件;crime case- incident
殺します;to kill
殺人;a murder (incident)
強盗;robbery
強盗します;to rob
泥棒;robber
容疑者;suspect
犯します;to commit (a crime)
犯人;culprit- criminal
被害者;victim
証人;witness
仮面;mask
薬物;drugs
武器;weapon
凶器;murder weapon
ポケット;pocket
逮捕します;to arrest
逃走します;to escape
捕まえます;to catch (something that is running away)
白昼堂々;in broad daylight
現行犯;red-handed
強盗がありました;there was a robbery
殺人事件がありました;there was a murder
私は犯人を見ました;I saw the culprit
彼は白昼堂々と銀行強盗をしました;he robbed the bank in broad daylight
警察は凶器を見つけられませんでした;the police couldn't find the murder weapon
これは命令です！;this is an order!
証拠;evidence
アリバイ;alibi
盗みます;to steal
証明します;to prove
いたるところ;everywhere
どこにも〜ない;nowhere
容疑者にはアリバイがありません;the suspect has no alibi
証人がいたるところにいました;there were witnesses everywhere
誰かが薬物を盗みました;someone stole the drugs
それは何も証明しません;that doesn't prove anything
血;blood
治療;treatment
手術;operation
患者;patient
抗生物質;antibiotics
クリーム;cream
アルコール;alcohol
ファーストフード;fast food
休みます;to rest
避けます;to avoid
使います;to use- to spend
不健康な;unhealthy (food- lifestyle- person)
最低...;at least ... (number)
どうやって;how do you ...- how to ...
どうやって鼻を骨折しましたか？;how did you break your nose?
この治療はすぐ効きます;this treatment works immediately
この患者は最低一週間休まなくてはいけません;this patient has to rest for at least a week
不健康な食べ物は避けなくてはいけません;you should avoid unhealthy food
休まなくてもいいです;... don't have to rest
薬は飲まなくてもいいです;you don't have to take any medicine
植物;plant
田んぼ;field
滝;waterfall
川;river
岩;rock (stone)
道路;road (traffic)
標識;sign
道路標識;road sign
団体;group- organisation
いなくなりました;disappeared (person- animal)
〜の中へ;into ...
〜へ向かって;towards ...
〜に沿って;along ...
やっと;finally
私たちはジャングルの中へ歩きました;we walked into the jungle
ツアーガイドは突然いなくなりました;the tour guide suddenly disappeared
私たちは滝へ向かって歩こうとしました;we tried to walk towards the waterfall
彼は植物を食べようとしました;he tried to eat the plants
私たちはたくさん話そうとしました;we tried to talk a lot
川に沿って歩いたら迷いませんでした;we walked along the river and we didn't get lost
やっと道路標識を見つけました;we finally found a road sign
瓜二つ;spitting image
いたちごっこ;cat and mouse game
石の上にも三年;patience pays off
障子;sliding door
壁に耳あり障子に目あり;even walls have ears
時は金なり;time is money
ぼた餅;mochi with bean jam
棚からぼた餅;pennies from heaven
坊主;Buddhist priest- bald head
三日坊主;person who cannot to stick to anything
小説;novel
理想;ideal- dream
理想の仕事;dream job
独身;single
無職;unemployed
一生;forever- lifetime- one's whole life
理想の仕事を想像してください;imagine your dream job- please
私はお金のことは気にしません;I don't care about money
一生独身でいたくありません;I don't want to be single forever
永遠に;forever- until the end of time
わたしは永遠に生きたいです;I want to live forever
夢;dream- goal
夢を見ます;to dream
タレント;TV personality
消防士;firefighter
専門家;expert
音楽家;musician
俳優;actor
女優;actress
デザイナー;designer
学位;degree (university)
学位を取ります;to do a degree
旅します;to travel
世界を旅します;to travel the world
達成します;to achieve (a goal)
開きます;to open
閉まります;to close
始めます;to start
プロ;professional
貧乏;poor
裕福;rich
ずっと;always- for ages- throughout
〜そうです;apparently ...
娘はタレントになりたいそうです;my daughter apparently wants to become a TV personality
彼は世界を旅したいそうです;he apparently wants to travel the world
彼の家族は貧乏だから、裕福になりたいそうです;his family is poor- so he apparently wants to become rich
私はずっと有名な音楽家になりたいと思っていました;I always wanted to be a famous musician
音楽家になるのが私の夢です;it's my dream to become a musician
私はずっとプロのバドミントン選手になりたいと思っていました;I always dreamed of becoming a professional badminton player
圧;pressure
血圧;blood pressure
麻酔;anaesthetics
肌;skin
生理;period (menstruation)
性別;sex (gender)
エネルギー;energy
足が痛いです;my leg hurts
苦しいです;to suffer
落ち込んでいます;... is feeling low
カップル;couple
元恋人;ex
付き合います;to date- to tag along
仲直りします;to make up (e.g. after an argument)
あなたに会いたいです;I miss you
彼らはもう話しません;they don't speak to each other anymore
私たちは昔カップルでしたが、今は違います;we used to be a couple- but not anymore
お互い;each other
あなたたちは絶対にお互いと話をしません;you never speak to each other
お互いもう好きじゃありません;we don't like each other anymore
彼はまだ元恋人のことが好きです;he still cares about his ex
仲直りしましょう;let's make up
自分のやっていることが分かっていますか？;do you understand what you are doing?
騒ぎ;fuss
騒ぎ立てないでください;please don't make a scene
答えます;to answer
謝ります;to apologise
誓います;to swear
刑期;sentence (in court)
言い渡します;to sentence (in court)
矛盾します;to contradict
視点;point of view
犯罪現場;crime scene
見た目;appearance
暴力;violence
刑務所;prison
囚人;prisoner
裁判官;judge
裁判所;(legal) court
裁判;trial (legal court)
終身刑;life sentence
怪物;monster
正直な;honest
普通の;normal
有罪の;guilty
無罪の;innocent
彼がどんな見た目だったか思い出してください;please remember what he looked like
怖がらないでいいですよ;you don't have to be scared
思い出せません;I can't remember
彼はその男より髪が少なかったです;he had less hair than that guy
私は何も知りません;I don't know anything
私は彼を信じません;I don't believe him
裁判官は泥棒に五年の刑期を言い渡しました;the judge sentenced the robber to five years
割り勘;splitting the bill
割り勘にしましょう;let's split the bill
おごり;treat
おごります;to treat (someone)
私のおごりです;it's on me
もう寝る時間です;it's time for bed now
二度と〜ない;never again
同じ間違いを二度としないでください;don't make the same mistake again- please
すべてうまくいきます;everything will be alright
頑張ればすべてうまくいきます;if you try hard- everything will be alright
私の理想の男性;the man of my dreams
私の理想の女性;the woman of my dreams
かわいらしい;sweet- adorable
礼儀正しい;well-mannered
優しい;generous- kind
セクシーな;sexy
恋に落ちます;to fall in love
婚約します;to get engaged
婚約しています;... is engaged
結婚;marriage
結婚します;to get married- to marry
結婚しています;... is married
結婚式;wedding
離婚します;to get divorced- to divorce
離婚しています;... is divorced
台無し;mess- failure
台無しにします;to ruin
どうして恋に落ちたのですか？;why did you fall in love?
彼女は私の理想の女性だからです;because she's the woman of my dreams
あなたの理想の男性はどんな人ですか？;what's the man of your dreams like?
私の理想の男性は勇敢で優しい人です;the man of my dreams is brave and generous
二人は三週間後に婚約しました;the couple got engaged after three weeks
別れます;to break up- end a relationship
私たちは別れました;we broke up
星;star
数;number- quantity
良い人は星の数ほどいます;there are plenty of fish in the sea
体操選手;gymnast
ルール;rule (game- sports)
マラソン;marathon
違い;difference
誇りに思います;... is proud
メダル;medal
金;gold
銀;silver
けります;to kick
投げます;to throw
訓練します;to train
努力;effort
努力します;to make an effort
努力をすればメダルを取れます;if you make an effort- you will win a medal
彼女が金メダルを取ったら、私はとても誇りに思います;if she wins a gold medal- I'll be very proud
