och;and
att lägga;1. to lay sth. (or s.o.) on a horizontal surface- 2. to put sth. (in sth.)- 3. [jag måste gå och ~ mig nu] I have to go to bed now
ett antal;1. a quantity- an amount- a number- 2. [ett stort ~ människor] a large number of people
redan;1. already- 2. [jag har ~ sett honom idag] I have already seen him today
en kvinna;a woman
att låta;to let
olik;unlike- different
sådan;1. such- 2. [vi hade ~ tur med vädret] we were so lucky with the weather- 3. [~t är livet] such is life
ett sätt;a way- a manner- a fashion
hans;his
din;1. your- 2. [~ bror] your brother- 3. [~tt hemland] your home country- 4. [~a föräldrar] your parents
en gång;1. once- (a) time- 2. a walk- a way of walking- pace- 3. working- running- in motion- 4. path- passage- walkway
att stå;to stand
inom;1. within- in- inside- 2. [flyttning ~ Sverige] moving to a new address within Sweden- 3. [~ kort] in a short time- shortly- soon
att visa;to show
att använda;1. to use sth.- 2. [att ~ sig av något] to use sth.
att vända;1. to turn- 2. to turn over- toss- flip- 3. [att ~ sig] to turn- to revolve
att hålla;to hold- to keep
genom;through / by
helt;1. wholly- completely- 2. [~ enkelt] quite simply- 3. [~ sonika] without further ado
fler;1. more (countable)- 2. [inga ~ frågor] no more questions- 3. [~ och ~ kvinnor] more and more women- 4. many- 5. [~ än] more than
utan;1. without- 2. [ingen rök ~ eld] no smoke without fire
väl;1. well- in a good way- [~uppfostrad] well brought-up
ett barn;1. a child- 2. [många ~] many children
enligt;1. according to- 2. [~ min uppfattning] in my opinion- to my mind
att tänka;1. to think- 2. [att ~ sig] to imagine
ni;1. you (plural- subject)- 2. [känner ~ varandra?] do you (two) know each other?
viktig;important
en ring;a ring
eftersom;since- because
vi;we (subject pronoun)
men;but
man;one / you (impersonal pronoun- subject)
de;they (subject pronoun)
att få;to get- to be allowed to
så;so
som;which- that (person or thing)
sig;oneself- itself- himself- herself- themselves
han;he (subject pronoun)
de;the (definite article- plural)
att bli;1. to become- 2. [allt kommer att ~ bra] everything is going to be fine
att komma;1. to come- 2. [det ~er att bli en tuff natt] it's going to be a tough night
det;it- that (neuter pronoun)
sin;one's (context-dependent pronoun- it can also mean "his- her- its- their")
eller;1. or- 2. (slang) [~ hur?] or what?
från;from
mycket;1. very- much- a lot of- 2. [tack så ~!] thanks very much!
att vilja;1. to want- 2. [jag skulle gärna ~ ha] I would like to have
all;all- everything
att göra;to do- to make
om;1. if- 2. [även ~- som ~] even if- as if
annan;1. other- 2. [ingen ~] nobody else
du;you (singular- subject)
någon;some or someone
att finna;1. to find- to discover (in literal sense)- 2. to find (in figurative sense)- to think- to consider
ut;1. out (showing movement)- 2. [han gick ~ ur rummet] he went out of the room- he left the room
ny;1. new- 2. [ett gott ~tt år] a happy new year- 3. [en ~ dag med ~a möjligheter] a new day with new possibilities
vid;1. at- 2. [vi satt ~ bordet] we sat at the table- 3. by- 4. [vi bor ~ en flod] we live by a river- 5. at- around- during
än;1. than (comparison)- 2. [mindre ~] less than- fewer than
bra;1. good- fine- 2. [allt är bara ~- tack] everything's just fine- thanks
ingen;1. no-one- nobody- 2. none- 3. no- not a- 4. [vi har ~ bil] we don't have a car- 5. [~ orsak!] no problem!
dem;them (object pronoun)
efter;after
upp;1. up (movement)- 2. [det är ~ till dig] it's up to you
hon;she
lite;1. a little- 2. [~ av varje] a little bit of everything- all sorts of things
denna;1. this- this one (common pronoun)- 2. [~ morgon] this morning (when the morning is not finished)
in;1. inside- into- 2. [jag gick ~ i huset] I went into the house
mycket;1. much- many- a lot (of)- 2. [~ folk] a lot of people- 3. [~ pengar] a lot of money
över;1. over- across- above- 2. over- finished- 3. [klockan är tio ~ elva] it's ten past eleven
att ge;to give
vår;1. our- 2. [~ bil] our car- 3. [~t hus] our house- 4. [~a barn] our children
en del;1. a part- a portion- a fraction- 2. a component- 2. a (good) deal (of)- 3. a thing- 4. a share of- use of
här;here
även;even- also
att skriva;1. to write- 2. [att ~ ut något] to print something (on a printer)
en tid;1. a time- an era- 2. an opportunity- 3. an appointment- 4. [jag har bokat ~ hos tandläkare] I have a dentist’s appointment
ju;of course (used to emphasise sth.)
sedan;then- afterwards- later
att te sig;to look like- to appear- to seem (reflexive in Swedish)
att ta;to take
när;1. when- 2. near- 3. [jag var med ~ det hände] I was there when it happened
att se;1. to see- to look- 2. [att ~ ut] to look (as in appearance)- 3. [hon ~r bra ut] she looks good- she is attractive
måste;1. must- have to- got to- 2. (colloquial) [jag ~ dra] gotta go! must dash!
detta;1. this- that- 2. [vad är meningen med ~?] what is the point of this?
stor;1. big- large- tall- great- 2. much- many- 3. [en ~ familj] a big family- 3. [ett ~t hus] a big house- 4. [med ~a bokstäver] in capital letters
nu;1. now- 2. [just ~] just now- right now- at the moment
att gå;to go (on foot)- to walk
att säga;to say
den;it (common pronoun)
vad;1. what- 2. [~ heter du?] what’s your name?- what are you called?
ett år;1. a year- 2. [ett gott nytt ~!] Happy New Year!
att äga;1. to own sth- 2. [att ~ rum] to take place
under;1. under- below- 2. during
att betyda;1. to mean (e.g of a word or phrase)- 2. to be of importance (for someone) 3. to result in
också;also
där;1. there- 2. (relative pronoun) where
då;1. then- 2. [~ kör vi!] let's go!
min;1. my- 2. [~n bil] my car- 3. [~tt hus] my house- 4. [~a nya skor] my new shoes
att böra;to be supposed to (should- ought)
hur;1. how- 2. [~ är läget?] how's things- how are you doing?
mig;me- myself
mot;towards / to
bara;just- only
vilken;1. which- what- 2. [~n otur!] what bad luck! 3. [~t väder!] what weather!- 4. [~a höga berg!] what high mountains!
en plats;1. a place- spot- site- square- room- seat- 2. a situation- job- position- 3. [att ta ~] to take a seat- to sit down- 4. [att bereda ~ för] to make room/space for
lång;1. long (with reference to height or length- not time)- 2. tall
att lämna;to leave a place or something
att bygga;to build
en politik;a politics (loan word)
tidigare;1. earlier- 2. previously (not: "förut")
att kalla;1. to name sth.- to call sth.- 2. to call for s.o.- to summon s.o.- 3. to appoint s.o.- 4. [vi ~s tiggare] we are called beggars
en peng;a money- a coin
väldigt;immensely- awfully- very
att leva;1. to live- 2. [Ja- må han ~!] long may he live! (from a famous Swedish birthday song)
att ställa;1. to place sth. in an upright position- 2. to adjust- 3. (reflexive) to behave- 4. to put sth. out of use- to put sth. off till later
att följa;to follow
en vecka;1. a week- 2. [förra ~n] last week- 3. [en gång i ~n] once a week- 4. [nästa ~] next week
ja;yes
att ske;to happen (rather formal- used more in writing than speech)
ett parti;1. a section- a part- a passage- 2. a political party- 3. a lot- a batch- a shipment- 4. a game- a round (of chess- of cards)
att kräva;1. to demand- 2. to claim- 3. [olyckan ~de tre liv] the accident claimed the lives of three people
en utveckling;(a) development
faktiskt;1. actually- 2. really- 3. just- 4. virtually
att ena;1. to unite- to unify- 2. [att ~ sig om] to agree- 3. [~de vi stå söndrade vi falla] united we stand- divided we fall
att svara;1. to answer- 2. [kan du ~ på frågan?] can you answer the question?
ner;down (showing movement)
att fortsätta;to continue
en skola;a school
att bruka;to be used to- to be in the habit of
intressant;interesting
ett val;1. a choice- 2. an election- 3. [jag hade inget ~] I had no choice
en kyrka;a church
egentligen;actually (not: "faktiskt")
inför;1. before (prep of place)- 2. just before (prep of time)- 3. faced with
en historia;1. a history- 2. a story- a plot- 3. [att berätta en ~] to tell a story
ett jobb;1. a job- work- 2. [jag har haft mycket ~ med det] it's been a lot of hard work for me (loan word)
att berätta;1. to tell- 2. [att ~ något för någon] to tell someone something- to tell something to somebody
vanlig;common
att rätta;to correct- to put right
januari;January
en information;an information (loan word)
flest;the most (countable things)
ung;young
en;1. one (object form of "man"- formal in English- but not in Swedish)- 2. [det skär ~ i hjärtat] it cuts one to the heart- 3. [~s föräldrar] one's parents
tillbaka;back
en film;1. a movie- a film- 2. [den här ~en tar aldrig slut!] this film just never ends! (loan word)
ibland;sometimes
medan;while
ett slut;1. an end- a finish- 2. a result- an upshot- 3. [att ta ~] to stop- to end- to run out- 4. [~et gott- allting gott] all’s well that ends well
en massa;1. a mass- a lot- 2. [en ~ folk] masses of people- loads of people- 2. [att ha ~or med pengar] to have loads of money- 3. a volume- bulk- 4. a mob of people
en tanke;1. a thought- 2. [~en slog mig] the thought struck me
en akt;1. an act (also theatre)- 2. a document- 3. a ceremony- 4. a nude- 5. [att ge ~ på] to keep an eye on
en procent;a percent
en månad;a month
ett mål;1. a goal (sport)- 2. an aim- 3. a meal- 4. a voice- a dialect- 5. a lawsuit
ett par;a pair
sent;1. late- 2. [att gå och lägga sig ~] to go to bed late (adverb- takes a "T" ending)
ekonomisk;economic (loan word)
kl.;1. abbreviation  used in expressions about time
dålig;bad
ett namn;a name
igen;1. again- 2. [att känna ~] to recognise s.o. or sth.
verkligen;1. really- 2. [jag uppskattar det ~] I really appreciate it
att mena;1. to mean (used when asking about someone's opinion)- 2. [vad ~r du?] what do you mean?
fortfarande;still (continuing to do something)
en grupp;a group (loan word)
ett beslut;1. a decision- a resolution- 2. a determination- a resolve- 3. [att fatta ett ~] to make a decision
även om;even if
enda;1. only- single- one- sole- 2. [han är ~ barnet] he is an only child- 3. [bara en ~ gång] just the one time- only once
bort;1. away (when movement is involved)- 2. [min pojkvän är ~rest] my boyfriend has gone away
att slå;1. to hit- to strike- to beat- to defeat- 2. to kill- 3. to cast- to throw- to pour- 4. [att ~ om] to change
möjlig;possible
många;many
att hända;1. to happen (common in spoken Swedish)- 2. [vad är det som ~er?] what's going on? what's happening?
att ämna;to intend- to be going to- to aim
endast;1. only (somewhat formal- used on signs etc.)- 2. [~ gångtrafik] pedestrians only
en miljon;a million (loan word)
vidare;1. more widely- more broadly- 2. further- farther
ganska;rather- pretty- fairly
ett problem;a problem
ett fall;1. a case (e.g. legal)- an instance- 2. a descent- (a) fall
en man, två män;1. a man- two men
aldrig;never
ofta;often
varje;1. every- 2. [till ~ pris] at any price- at all costs- at any price
en artikel;an article
att anse;1. to consider- feel- think- believe- 2. to regard- look upon (sth. as)
att öva;to practice- to exercise- to train- to rehearse (e.g. an instrument)
ett lag;a team
ett slag;1. a kind- a sort- 2. [vad är det för ~s bil?] what kind of car is that?- 3. a blow- a hit- a slap- a knock- a punch- 4. a battle
ett tal;1. a sum- a calculation- a number- 2. talk- a speech- a conversation
åt;1. at- towards- 2. for (in the sense of doing sth. for s.o.)- 3. about
nog;1. enough- sufficiently- 2. probably- certainly- doubtlessly- 3. to be sure
en bok, två böcker;1. a book- two books- 2. [han har många gamla ~er] he has a lot of old books
varför;1. why- 2. [~ kom du till Sverige?] why did you come to Sweden?
att handla;1. to act- to take action- 2. to go shopping- to trade- to do business- 3. to be about   [vad ~r boken om?] what is the book about?
gammal;1. old- [han är en ~ man nu] he is an old man now- 3. [vi bor i ett ~t hus] we live in an old house- 4. [~a människor] old people- old folks
en bild;a picture- an image
en sida;1. a side- 2. a page- 3. [han har sina ~or] he has his bad points
så;so
att öka;to increase
därför;1. therefore- so- hence- 2. for this reason- that's why- 3. consequently (not: "alltså")
sen;1. late- 2. [våren är ~ i år] spring is late this year
god;1. good- 2. [~ natt- ~ kväll] good night- good evening- 3. [ett ~tt skratt- ett ~tt liv] a good laugh- a good life- 4. [~a vänner] good friends
sista;1. the last (day- minute- row of seats etc.)- 2. [~ minuten-flyg] last-minute flights
en ätt;a dynasty- a lineage- a family
att sluta;1. to stop (doing sth.)- 2. to come to an end- to end- 3. [att ~ röka] to stop smoking
en verksamhet;an activity- an operation- a business
en rätt;1. a dish- a course of a meal- [en för~- en efter~] a starter- a dessert- 2. a right- (a) justice- 3. a law- a law court
samtidigt;at the same time
emot;1. [mitt ~] opposite- facing- 2. [inte mig ~] I don't have anything against it- 3. against- 4. [för eller ~ dödsstraff] for or against the death penalty
ett stöd;1. a support- 2. [med ~ av] with the support of- with the help of
en familj;a family
vem;who (e.g. in questions)
att åka;to go by car- bus or plane
att betala;to pay
en kommun;a municipality- a local authority
ett resultat;a result
att utveckla;to develop
att föra;to bring- to transport
att hjälpa;to help
nästa;next
nära;near- nearly
nej;no
en text;a text
ett exempel;an example
särskilt;especially- particularly (not a loan word)
en debatt;a debate
när det gäller;1. as far as (x) is concerned- in terms of (x)- when it comes to (x)
ett ord;1. a word- 2. [välj dina ~!] mind your language! mind what you say! 3. [att slå efter ett ~] to look up a word (e.g. in a dictionary)
politisk;political (loan word)
att välja;to choose
er;1. you- you two- you guys (plural- object)- 2. yourselves
att förstå;to understand
ett inlägg;1. a contribution (to a discussion)- a post- a comment (e.g. online)- 2. an insert- an inlay (shoe)- 3. a cross (football)
ett ägg;1. an egg- 2. [hur kokar man ~?] how do you boil an egg?
ett te;1. a tea- 2. [låta ~et stå och dra] let the tea draw- let the tea brew
att spela;1. to play (also instrument- sport)- 2. to perform- to act- to show (e.g. movie at cinema)- 3. [det ~r ingen roll] it doesn't matter- it makes no difference
så att;so that
lika;1. equally- alike- in the same way- 2. (used in comparisons when two things are similar or the same) [han är ~ lång som du] he's just as tall as you- he's the same height as you
att hitta;1. to find sth.- 2. (intransitive) to find or know your way to somewhere
ett tag;1. a grip- a hold- 2. a stroke- 3. a pull- 4. a while- 5. [att få ~ i/på] to get hold of- 6. [det var ett ~ sen] it was a while ago- 7. [att ta ~ i ngt. eller ngn] to tackle- to get to grips with
att dra;1. to pull- to draw- 2. to take away- take- consume- 3. to tell (a story etc.)- 6. to leave- 7. [att ~ sig] to move- 8. [inte ~ sig för att göra ngt] to not hesitate to do sth.- to not be afraid to do sth.- to not mind doing sth.- 9. [att ~ sig för] to dislike sth.
att leda;to lead
gärna;1. gladly- readily- willingly- 2. [hon badar ~] she likes going for a swim- 3. [du kan lika ~ göra det själv] you might as well do it yourself
ändå;1. anyway- nonetheless- 2. however- 3. [men ~ ...] but still ...- 4. [~ bättre] even better
ett förslag;a proposal- a suggestion
att lyckas;to succeed
dessutom;1. besides- as well- 2. furthermore- moreover- in addition
ett område;1. an area- a zone- a territory (in real sense)- 2. grounds- property- 3. a field- a domain (as in special subject)
en lag;a law
svår;difficult
att lära;1. to teach- 2. [att ~ sig] to learn- to teach oneself sth.
att sätta;1. to sit down (reflexive)- 2. to place (sth. somewhere)- 3. to set- e.g. an alarm clock- 4. [att ~ betyg] to mark or grade a test
på grund av;on grounds of- owing to- because of
en situation;a situation (loan word)
europeisk;European (loan word)
en form;a form- a shape (loan word)
en orm;a snake
ett råd;1. an advice- 2. a way out- a means- a resource- 3. [han har ~ att göra det] he can afford to do that- 4. a council- a board
november;November
en makt;a power- a might
social;1. social- 2. [~a medier] social media (loan word)
att vinna;to win
kvar;1. left- remaining- 2. (on the phone) [är du ~?] are you still there?
ett system;a system (loan word)
att vänta;to wait
tidig;early
en åtgärd;a measure- a move- a step (figurative sense)
ett krav;1. a demand (e.g for payment)- 2. a claim- 3. a requirement
en skillnad;a difference- a discrepancy
en riksdag;a parliament (in particular those institutions and buildings found in Sweden- Finland and Germany- past and present)
internationell;international (loan word)
nationell;national (loan word)
att jobba;to work (informal- spoken Swedish)
att klara;1. to clear- 2. to manage sth. successfully- 3. [att ~ sig] to manage- to do well
en typ;1. a type- kind- sort- 2. kind of- sort of- used in everyday Swedish (loan word)
kring;1. round- around- 2. about- 3. [vad tänker ni ~ denna situation?] what do you all think about this situation?
båda;both
cirka;1. about- approximately (only used with numbers)- 2.  [~ tre veckor]- about three weeks
en tur;1. a luck- fortune- 2. a turn (when playing a game)- 3. a trip- tour- outing- 4. [att ha ~] to be lucky- 5. [ni hade ~ tur med vädret] you were lucky with the weather
en polis;1. a police- a police officer- 2. [hon jobbar som ~] she works as a policewoman
ett medium;a medium (loan word)
låg;1. low- 2. [~stadiet] elementary school- primary school (first three years of school in Sweden)
varandra;1. each other- 2. [känner ni ~?] do you guys know each other?
en mun;1. a mouth- 2. [att dra på ~nen] to smile slightly- 3. [en ~ kaffe] a mouthful of coffee- 3. [prata bredvid ~en] to give away a secret
ett ansvar;a responsibility
en roll;1. a role- 2. [det spelar ingen ~] it doesn’t matter- it’s not important- it's not relevant
en regel;1. a rule- 2. [att följa ~erna] to follow the rules
oktober;October
att prata;1. to speak- to prattle- 2. [att små~] to chat- to engage in small talk
en organisation;an organisation (loan word)
en medlem;1. a member- 2. [ett  ~sland] a member country
att fråga;1. to ask- 2. [får jag ~ en sak?] may I ask you something?- 3. [att ~ sig] to wonder- to ask oneself
att anmäla;1. to announce s.o.- to report sth./s.o. (lost- missing- to an authority of some kind)- to notify- 2.  [att ~ sig] to sign up for- to apply for- to register for sth.
att nå;1. to reach- to get to- to attain- 2. to achieve- to arrive at- [numret kan inte ~s för närvarande] this number cannot be reached at the moment
att bo;1. to live- to dwell- 2. [hur länge har du ~tt i Sverige?] how long have you lived in Sweden?
en krona;1. a crown- 2. SEK- Swedish currency- 3. [~ eller klave] heads or tails (phrase used when tossing a coin)
att stämma;1. to be right- to be correct- 2. [det ~er!] that's right!- 3. to correspond- to agree- to tally- 4. to tune (an instrument)- 5. to stem- to check
en rättighet;1. a right- a legal entitlement- 2. [mänskliga ~er] human rights- 3. [restaurang med fullständiga ~er] fully-licensed restaurant
sedan;1. since- 2. [~ dess] since then- 3. for- 4. [han är bortrest ~ en vecka ] he’s been away for a week
bakom;1. behind- 2. [~ ratten] behind the wheel of a vehicle
efter att;1. after- 2. [~ ha + past participle] after having + past participle- 3. [~ ha bott utomlands i många år] after having lived abroad for many years
därmed;1. therewith- thereby- 2. with that- 3. [och ~ var det slut] and that was the end of it (not formal in Swedish)
med;1. too- also- as well- [jag ~!] me too!- 3. [det tycker jag ~] I think so too- 4. [ge mig dem ~] give me those as well- 5. [är du~?] are you with me? Do you understand?
ett hus;1. a house- 2. [ett par~] a semi-detached house- a duplex
en vän;1. a friend- 2. [goda ~ner] good friends
att dela;1. to divide- to split up- to cut up- 2. to share- 3. [att ~ sig] to divide- to separate- to branch off- 4. [att ~ med sig av något åt andra] to share something with others
februari;February
kort;1. shortly- briefly- 2. [~ sagt] in short- to cut a long story short
en grund;1. a foundation (in the sense of sth. lying under sth. else)- foundations- ground- 2. a basis- a reason- a ground- a motive- a cause- 3. [på goda ~er] for good reasons
runt;1. round- 2. [~ hörnet] round the corner- 3. [året ~] all year round
en framtid;a future
att köra;1. to drive (a car- etc.)- 2. [då ~ vi] let’s go
en etikett;a label
fri;1. free (without sth)- 2. [gluten~] gluten-free
ett behov;1. a need- a requirement- 2. [vid ~] when necessary- as required- 3. [för framtida ~] for future needs
en timme;1. an hour- 2. a lesson (e.g. school)- 3. a period (school)- 4. [små~arna] the small hours- the wee hours
september;September
att hoppas;to hope
ensam;1. alone- 2. lonely- 3. [sedan min hustru dog lever jag ~] since my wife died I live alone
snart;soon
rätt;1. rightly- correctly- 2. [att handla ~] to do the right thing- 3. [om jag har förstått ~] if I have understood correctly (adverb)
att förklara;1. to explain- 2. to declare- to state
en ledning;1. a leadership- a management (upper levels of a company)- a command- 2. a guidance- 3. a lead (also in sport)- a clue- 4. a cable- a wire- a line- a pipe (in connection with utilities)- 6. [att dra ~ar] to wire a house
ett intresse;1. an interest (in sth.)- 2. [ett musik~] an interest in music
att tvinga;to force
att påverka;to influence- to affect
en anledning;1. a reason- 2. [av någon ~] for some reason- for no particular reason- 3. [~ till något] (a) cause of sth.- 4. [att ge ~ till] to give occasion to- to cause- to lead to
att titta;to look- to watch something
att minska;to decrease- make smaller in size
i alla fall;in any case
däremot;1. on the other hand- 2. however- 3. on the contrary
direkt;directly- in a direct way or manner (loan word)
en ekonomi;1. an economy (e.g. of a country)- 2. financial situation- finances (e.g. of an individual or family)- 3. [oavsett familjens ~] regardless of the family's finances
att bestämma;1. to fix- to determine- 2. to prescribe- 3. to decide (on) sth.- 4. (reflexive) to decide- 5. [att ~ blodgruppen] to determine s.o.'s blood group
att skicka;1. to send- 2. [jag ~ar ett mess] I’ll send you a text (message)
trots;in spite of- despite (followed by a noun)
en åsikt;1. an opinion- a viewpoint- 2. [vi har olika ~er] we have differing opinions
en diskussion;a discussion (loan word)
en rad;1. a row- line- series- succession (e.g. words on paper- seats in a theatre- cars in traffic- pearls on a necklace)- 2. [ett ~hus] a row house (USA)- a terraced house (UK)
ett faktum;1. a fact- 2. [ett fullbordat ~] a fait accompli (loan word)
en tidning;a newspaper
en mening;1. an opinion- 2. an intention- a purpose- a point- 3. a meaning- 4. a sentence (as in a series of words)
utanför;1. outside- 2. [jag väntar ~ huset] I’m waiting outside the house
rätt;1. right correct- 2. [det är ~] that's right- that's correct- 3. [allt på sin ~a plats] everything in its proper place (adjective)
gemensam;common- mutual
klar;1. ready- finished- done- 2. settled- arranged- 3. clear- transparent- 4. obvious- 5. [~a- färdiga- gå!] ready- set- go! On your marks- get set- go!
juni;June
en is;an ice- frozen water
en bil;a car
en myndighet;1. an authority- a power- 2. the age of majority
ett nummer;1. a number- 2. an issue- a copy (e.g. of magazine)- 3. a size (e.g. shoes)- 4. [att slå ett ~] to dial a number
allmän;1. common- widespread- 2. general- universal- 3. current- 4. public (in sense of sth. that belongs to society in general)
en marknad;a market
nämligen;namely
tydlig;clear- unambiguous (not: "klar")
en utbildning;1. a training- a training course- 2. an education- 3. further education- 4. further training
att röra;to touch
en nivå;a level- a grade (loan word from French)
april;April
en mängd;1. a crowd- 2. an amount- a quantity or volume- 3. a set (math.)
en betydelse;1. a meaning- a sense- 2. a consequence- an importance- a significance
kristen;Christian
att dö;to die
mars;March
allt;1. everything- all- 2. [~ jag behöver] everything I need- 3. [~ är bara bra- tack] everything is just fine- thanks- 4. [~ detta] all this
en kväll;an evening
en bildning;1. an education- a training- 2. (a) culture- breeding- good manners- 3. a structure
en länk;a link
att växa;to grow- to increase in size
per;per
offentlig;public- official
såväl;1. as well- also- both- 2. [jag gillar ~ öl som ost] I like both beer and cheese
att våga;to dare
ett vatten;a water
ett håll;1. a direction- 2. a distance- a range- 3. a location- a place- 4. a stitch in the side- 5. a grip- a hold
mänsklig;1. human- humane- 2. [~a rättigheter] human rights
en demokrati;1. a democracy- 2. [ett hot mot ~n] a threat to democracy (loan word)
en dom;1. a conviction- a judgement passed by a court (law)- 2. a cathedral
en risk;1. a risk- 2. [det finns en risk för att + clause] there is a risk of / that- 3. [en betydande ~] a significant risk
enkel;1. simple- easy- plain (e.g. food- dress)- 2. single (e.g. ticket for one direction only)
alls;1. at all- 2. [inget besvär ~] no trouble at all
ett pris;1. a prize- 2. a price- 3. [till varje ~] at any price- at all costs- at any cost
att räkna;1. to calculate- 2. to do arithmetic- 3. to count- 4. to reckon (with)
att beskriva;to describe
hem;1. home- 2. [att köra ~] to drive home- 3. [att ta ~ spelet] to win the game
att möta;1. to meet (s.o.)- 2. to face- to encounter (e.g. difficult situations)
såsom;1. as- such- like- such as- 2. [ett klimat ~ vårt] a climate like ours
en idé;an idea (loan word)
ett gram;1. a gramme- a gram- 2. [mindre än 53 ~] less than 53 grammes (loan word)
förra;1. former- last- late- earlier- 2. [~ veckan] last week
en tjänst;1. a service- a favour- 2. a post- duty- appointment- office
att heta;1. to be called- 2. [vad ~er han?] what's his name?- 2. (impersonal verb) [det ~er i lagen] the law says- 3. [det ~er att] it is said that- allegedly
en kultur;a culture (loan word)
att äta;1. to eat- 2. [att ~ p-piller] to take the (contraceptive) pill
ett syfte;1. a purpose- 2. [i militärt ~] for military purposes
en princip;a principle (loan word)
att flytta;1. to move (house)- 2. to move sth. to another place- 3. [hon ~de hemifrån igår] she moved out of her parents’ house yesterday
ute;1. out- outside (location)- 2. [~ på restaurangen] out at a restaurant- [~ på gatan] out on the street- [~ på havet] out at sea
att utgöra;to constitute- to form
en politiker;a politician (loan word)
lätt;1. easy- lightweight- 2. [att ha ~ för språk] to find it easy to learn languages
en förälder;a parent
en musik;a music (loan word)
att ändra;1. to change- to alter- 2. to shift- 3. to correct- to amend- to revise- 4. to transform- 5. [att ~ en klänning] to alter a dress- 6.  [att ~ sig] to change one's mind
att träffa;1. to meet (s.o.)- 2. to hit- to strike sth.
ihop;1. together- jointly (not: "tillsammans" or "samman")
att diskutera;to discuss (loan word)
att driva;1. to run a business- 2. to operate a machine- 3. to move slowly- to drift- 4. to force- push- to move sth. with force- 5. [~er du med mig?] are you making fun of me?
att sälja;to sell
att sakna;1. to lack sth.- to not have sth.- 2. to miss (a person)- 3. to not be able to find sth.
ett program;a program (loan word)
ifrån;1. from- down- away- 2. [var~ kommer du?] where do you come from?- 3. [att lägga ~ sig] to put sth. down/away- to leave sth. behind- to mislay sth.
att länka;to link (loan word)
en kunskap;1. a knowledge- 2. a proficiency (of pupil or student)- 3. [~ är makt] knowledge is power
snabbt;quickly
maj;May (month)
amerikansk;American (loan word)
att tyda;1. to indicate- 2. to interpret
särskild;1. special- particular- 2. specific- 3. separate- 4. [~ åklagare] special prosecutor- 5. [~t boende] sheltered accommodation
en början;a beginning
naturligtvis;naturally- of course (ends in "-vis")
ett skäl;1. a reason- a cause- a purpose- why something is done- 2. [ge mig ett enda gott ~] give me just one good reason
fin;1. fine (in both senses) excellent- lovely- 2. [att få ~a betyg] to get excellent grades
att genomföra;to carry out- to implement- to realize (a project- plan etc.)
liksom;as well as- just like- in the same way as- almost
via;via
före;1. before (prep of time)- 2. in front of (prep of place)- 3. ahead- prior- 4. [~ och efter] before and after
att riva;to tear- to rip
att börja;to begin (often used with verbs)
hel;1. whole- complete- 2. [en ~ del] a whole lot (of people)- a good deal- plenty of
