一月;January
社長;a CEO
自由でおもしろい社長です;she is a free and funny CEO
出張;a business trip
多い;many
少ない;a few
出張が多いです;there are many business trips
いろいろな国に行けます;I can go to many different countries
給料;salary
お給料もまあまあいいです;the pay isn't bad either
将来;the future (of someone or something)
始める;to start
将来は日本で会社を始めたいです;I want to start a company in Japan in the future
仕事のため;for work
勉強する;to study
そのために日本語を勉強しています;I am studying Japanese for that
大事な;important- critical
会議;a meeting
遅刻する;to be late (for an appointment)
大事な会議に遅刻してしまいました;I was accidentally late for an important meeting
上司;a superior- a boss
話;a story- a talk
ここだけの話;just between me and you
嫌いな上司がいます;there is a boss I hate
おじぎする;to bow
ちゃんと;properly
ほら、ちゃんとおじぎしてください;come on- bow properly
残業;overtime work
たまる;to accumulate (itself)
ストレスがたまっています;I'm stressed out
給料日;payday
給料日まで待てません;I can't wait for payday
飲み会;a drinking party
会議の前に;before the meeting
出張の後で;after the business trip
仕事の後、飲みに行きませんか？;do you want to go for a drink after work?
ストレス発散;releasing stress
ストレス発散にカラオケに行きましょう;let's go for a karaoke to let off steam
…とき;when ...
働くときは働く、遊ぶときは遊ぶ;work hard- play hard
メリハリ;work-life balance
メリハリが大事です;it’s important to clearly separate work and private life
生きる;to live- to be alive
働くために生きるんじゃない;you're not living to work
生きるために働くんです;you're working to live
心;heart
心がキュンキュンします;my heart is aching
ドキドキが止まりません;my heart won't stop pounding
気持ち;feelings
こんな気持ちは初めてです;I have never felt this way before
もしかしたら、それは恋かもしれません;maybe that is love
初恋;the first love
好きな人;my crush
好きな人がいます;there is someone I fancy
どんな人がタイプですか？;what's your type?
正直な;honest
大人っぽい;mature- like an adult
子どもっぽい;childish
ムキムキな;super muscly
ムキムキな人がいいです;I like someone who is super muscly
私のほうがかわいいでしょ？;I am cuter- aren't I?
イケメン;a good-looking man
あなたのほうが彼よりもイケメンです;you are better-looking than him
笑顔;a smile
素敵な笑顔;a charming smile
美しい心;a beautiful heart
愛する;to love
愛してる;I love you (casual)
あなたよりも私のほうが彼を愛しています;I love him more than you do
私たち、ライバルですね;we are rivals
出会い;an encounter
出会いはどこでしたか？;where did you meet?
一目惚れでした;it was love at first sight
私の片思いです;my love is unrequited
両思いじゃないです、、、まだね;it's not a mutual love ... yet
告白する;to confess your love to someone
まだ告白していません;I haven't told that person I love him/her yet
付き合う;to go out with someone
あの二人は、付き合っています;those two are going out
本気です;I'm serious
結婚;a marriage
離婚;a divorce
結婚する;to get married
将来は結婚したいです;we want to get married in the future
プロポーズする;to propose
海;the sea
海辺でプロポーズしました;I proposed on a beach
言葉;a word
プロポーズの言葉は何でしたか;what did you say to propose?
手;a hand
手をつなぐ;to hold hands
手をつないでもいいですか？;can we hold hands?
世界の誰よりも愛している;I love you more than anyone else in the world
嬉しい;delighted
幸せな;happy
今までで、一番幸せです;I am the happiest in my life
恋人;a lover
彼氏;boyfriend
元カレ;ex boyfriend
元カノ;ex girlfriend
落ち込む;to be upset- to feel down
どうしたの？;what happened? (casual)
なんで？;why? (casual)
ふられる;to be refused your love- to be dumped
彼氏にふられました;my boyfriend dumped me
浮気;cheating on your partner
別れました;we broke up
悲しい;sad
寂しいです;I'm feeling lonely
元気を出して！;cheer up!
あなたにはもっと優しい人のほうがいい;you deserve some one much kinder
私みたいな人;someone like me
